iter	RMSE
0	477153.3158
1	462260.9025
2	448767.8587
3	436377.4397
4	424409.2822
5	413490.9075
6	403435.6239
7	393954.8884
8	385333.6367
9	377137.3134
10	369504.4239
11	362400.1589
12	355876.5738
13	349742.9288
14	344117.912
15	338771.2849
16	333861.0806
17	329248.736
18	324994.0429
19	321180.0022
20	317280.643
21	313595.4674
22	310279.3727
23	307008.5621
24	304223.8899
25	301443.0165
26	298829.0596
27	296368.5183
28	294060.0679
29	291930.6133
30	289897.1933
31	287951.3926
32	285942.3343
33	284167.2917
34	282557.6713
35	280995.6032
36	279385.9192
37	277988.8804
38	276703.2753
39	275397.0839
40	274079.2248
41	272816.2101
42	271699.9876
43	270574.1349
44	269597.7104
45	268588.8093
46	267595.3326
47	266326.2396
48	265423.4067
49	264465.5499
50	263449.1167
51	262690.9983
52	261953.8934
53	260921.2252
54	260172.7259
55	259471.1755
56	258845.5863
57	258236.9375
58	257530.1855
59	256730.1781
60	256108.553
61	255415.6015
62	254870.6
63	254273.9982
64	253665.8623
65	252939.0347
66	252441.6835
67	251892.4696
68	251390.146
69	250919.4589
70	250489.4553
71	250061.5677
72	249588.9262
73	249164.4182
74	248666.9925
75	248199.2393
76	247756.6989
77	247356.2537
78	247043.2256
79	246651.7249
80	246274.9355
81	245866.3012
82	245535.4312
83	245250.0299
84	244861.95
85	244509.4085
86	244161.5385
87	243925.2011
88	243592.1426
89	243241.4979
90	242973.9213
91	242678.5702
92	242387.5629
93	242081.0642
94	241777.977
95	241424.1084
96	241091.7499
97	240821.2357
98	240513.8878
99	240273.0529
100	240010.1476
101	239798.3309
102	239570.9667
103	239369.1259
104	239159.1002
105	238836.7171
106	238523.3624
107	238277.7164
108	238117.5932
109	237850.0132
110	237652.2266
111	237439.3923
112	237230.2478
113	237036.7187
114	236809.8319
115	236573.0514
116	236364.2415
117	236133.4823
118	235937.7586
119	235752.5076
120	235565.3768
121	235323.6763
122	235134.2419
123	234968.9748
124	234782.1954
125	234596.9818
126	234419.046
127	234248.2629
128	234068.3451
129	233868.1698
130	233714.2345
131	233472.2231
132	233306.5427
133	233153.1603
134	233000.9809
135	232826.7563
136	232687.1203
137	232538.1145
138	232387.2345
139	232230.7665
140	232045.7615
141	231892.0166
142	231753.1105
143	231580.0842
144	231439.6244
145	231232.9468
146	231092.138
147	230935.0317
148	230775.9226
149	230623.3881
150	230469.6498
151	230284.6434
152	230163.3815
153	230012.1498
154	229864.0551
155	229732.2601
156	229595.6491
157	229463.3596
158	229349.2276
159	229197.0336
160	229074.2948
161	228948.4888
162	228785.4285
163	228660.0481
164	228552.1057
165	228391.6037
166	228261.1812
167	228110.5981
168	227976.9297
169	227851.516
170	227737.4161
171	227594.2063
172	227445.1642
173	227320.0067
174	227189.2887
175	227058.1885
176	226954.3475
177	226826.9433
178	226701.4703
179	226571.7414
180	226466.0295
181	226359.7326
182	226262.2873
183	226155.3249
184	226053.4285
185	225946.7544
186	225855.4272
187	225716.339
188	225631.03
189	225527.2764
190	225433.0855
191	225235.1053
192	225136.0698
193	225017.3744
194	224914.3945
195	224799.4276
196	224705.6142
197	224555.6498
198	224477.8864
199	224368.428
200	224239.4902
201	224134.1316
202	224040.9076
203	223932.7477
204	223823.375
205	223733.3269
206	223613.7996
207	223544.5256
208	223341.6188
209	223229.3399
210	223168.3181
211	223068.2263
212	222992.3534
213	222906.4795
214	222807.405
215	222707.3668
216	222572.8144
217	222469.3229
218	222372.5711
219	222295.2976
220	222220.696
221	222132.1242
222	222028.6864
223	221896.5904
224	221807.1634
225	221704.4616
226	221619.5745
227	221521.8518
228	221418.4988
229	221295.2232
230	221222.5501
231	221138.9478
232	221031.0871
233	220944.5237
234	220852.218
235	220801.8123
236	220703.7691
237	220625.4035
238	220541.413
239	220446.1718
240	220365.5435
241	220302.7418
242	220242.0974
243	220199.0405
244	220131.5725
245	220028.8249
