iter	Passed	Remaining
0	52	104225
1	112	112381
2	168	112008
3	218	109118
4	271	108337
5	324	107679
6	376	107133
7	428	106757
8	476	105434
9	521	103858
10	563	101889
11	609	100903
12	651	99622
13	703	99802
14	751	99421
15	811	100583
16	849	99139
17	893	98381
18	933	97375
19	1003	99312
20	1043	98363
21	1083	97397
22	1124	96616
23	1164	95849
24	1202	95021
25	1243	94383
26	1286	94034
27	1332	93867
28	1377	93633
29	1417	93080
30	1459	92724
31	1500	92288
32	1542	91946
33	1583	91591
34	1621	91019
35	1661	90638
36	1702	90309
37	1746	90167
38	1796	90313
39	1836	90001
40	1878	89773
41	1914	89238
42	1957	89086
43	1997	88780
44	2046	88925
45	2089	88748
46	2130	88537
47	2173	88388
48	2210	88032
49	2254	87913
50	2295	87742
51	2340	87679
52	2381	87476
53	2421	87248
54	2460	86995
55	2496	86669
56	2564	87423
57	2615	87589
58	2659	87482
59	2707	87543
60	2754	87549
61	2799	87494
62	2847	87536
63	2894	87552
64	2935	87376
65	2978	87269
66	3023	87230
67	3063	87051
68	3104	86890
69	3146	86754
70	3188	86636
71	3229	86470
72	3274	86443
73	3314	86270
74	3358	86206
75	3398	86041
76	3437	85857
77	3475	85651
78	3519	85591
79	3559	85431
80	3623	85840
81	3686	86221
82	3730	86149
83	3769	85982
84	3808	85807
85	3847	85634
86	3887	85483
87	3924	85267
88	3960	85029
89	3998	84855
90	4040	84757
91	4081	84653
92	4126	84614
93	4176	84691
94	4228	84795
95	4282	84933
96	4342	85187
97	4416	85709
98	4466	85763
99	4507	85646
100	4554	85629
101	4598	85564
102	4645	85565
103	4691	85529
104	4732	85413
105	4779	85402
106	4822	85316
107	4871	85346
108	4909	85181
109	4950	85066
110	4993	84975
111	5036	84896
112	5079	84818
113	5117	84666
114	5158	84550
115	5203	84505
116	5254	84560
117	5308	84667
118	5357	84681
119	5400	84600
120	5442	84520
121	5486	84462
122	5530	84391
123	5570	84281
124	5610	84151
125	5648	84012
126	5691	83943
127	5734	83866
128	5776	83785
129	5815	83651
130	5860	83614
131	5901	83508
132	5940	83387
133	5987	83376
134	6029	83296
135	6070	83197
136	6107	83054
137	6155	83048
138	6196	82961
139	6238	82886
140	6281	82824
141	6325	82760
142	6365	82664
143	6405	82555
144	6447	82483
145	6490	82414
146	6529	82303
147	6569	82201
148	6606	82066
149	6649	82011
150	6693	81963
151	6735	81888
152	6781	81864
153	6823	81791
154	6868	81753
155	6918	81785
156	6960	81705
157	7004	81662
158	7045	81579
159	7088	81519
160	7129	81438
161	7174	81404
162	7216	81334
163	7260	81285
164	7305	81245
165	7343	81134
166	7391	81129
167	7431	81036
168	7473	80965
169	7510	80849
170	7547	80731
171	7589	80665
172	7641	80701
173	7681	80612
174	7723	80548
175	7760	80430
176	7803	80369
177	7838	80230
178	7878	80145
179	7916	80042
180	7953	79933
181	7994	79856
182	8028	79714
183	8066	79614
184	8107	79544
185	8147	79462
186	8185	79357
187	8227	79299
188	8267	79223
189	8308	79144
190	8352	79106
191	8391	79023
192	8435	78983
193	8472	78870
194	8510	78776
195	8553	78728
196	8596	78677
197	8637	78608
198	8676	78520
199	8712	78408
200	8748	78300
201	8785	78199
202	8829	78163
203	8866	78055
204	8901	77942
205	8935	77818
206	8973	77731
207	9018	77699
208	9061	77653
209	9102	77591
210	9141	77506
211	9181	77439
212	9221	77363
213	9259	77277
214	9296	77180
215	9335	77100
216	9375	77038
217	9409	76914
218	9446	76820
219	9486	76756
220	9524	76673
221	9565	76608
222	9601	76514
223	9639	76427
224	9678	76355
225	9713	76243
226	9747	76133
227	9789	76085
228	9829	76016
229	9864	75916
230	9902	75830
231	9942	75767
232	9980	75690
233	10019	75620
234	10054	75515
235	10094	75451
236	10141	75439
237	10181	75379
238	10226	75353
239	10268	75302
240	10308	75237
241	10344	75145
242	10386	75101
243	10432	75079
244	10474	75033
245	10515	74974
246	10550	74882
247	10593	74836
248	10641	74832
249	10681	74768
250	10739	74836
251	10792	74864
252	10834	74816
253	10878	74781
254	10918	74714
255	10961	74677
256	11003	74626
257	11042	74558
258	11114	74708
259	11164	74719
260	11210	74694
261	11250	74629
262	11290	74568
263	11327	74486
264	11366	74419
265	11401	74325
266	11444	74285
267	11483	74215
268	11522	74144
269	11562	74083
270	11602	74026
271	11646	73986
272	11690	73956
273	11732	73908
274	11775	73867
275	11818	73821
276	11855	73743
277	11900	73715
278	11944	73681
279	11983	73612
280	12028	73583
281	12070	73535
282	12113	73493
283	12153	73436
284	12206	73455
285	12253	73435
286	12296	73392
287	12343	73377
288	12388	73344
289	12428	73286
290	12472	73251
291	12512	73189
292	12551	73125
293	12590	73059
294	12630	72997
295	12668	72930
296	12706	72857
297	12743	72786
298	12784	72730
299	12820	72649
300	12859	72585
301	12900	72532
302	12936	72451
303	12972	72373
304	13013	72321
305	13054	72270
306	13094	72210
307	13136	72167
308	13177	72113
309	13218	72060
310	13260	72018
311	13300	71960
312	13337	71887
313	13377	71827
314	13417	71770
315	13455	71707
316	13493	71640
317	13529	71564
318	13568	71500
319	13607	71436
320	13646	71379
321	13720	71498
322	13769	71490
323	13809	71433
324	13847	71369
325	13888	71317
326	13928	71262
327	13974	71235
328	14013	71175
329	14059	71149
330	14099	71092
331	14135	71019
332	14176	70965
333	14215	70909
334	14261	70882
335	14308	70862
336	14361	70868
337	14399	70806
338	14434	70726
339	14467	70635
340	14508	70585
341	14547	70525
342	14580	70435
343	14619	70379
344	14660	70328
345	14694	70243
346	14731	70174
347	14767	70103
348	14800	70015
349	14834	69933
350	14868	69851
351	14902	69770
352	14935	69687
353	14973	69620
354	15007	69542
355	15043	69469
356	15081	69407
357	15120	69349
358	15158	69290
359	15197	69231
360	15233	69160
361	15268	69086
362	15305	69022
363	15343	68960
364	15382	68904
365	15417	68830
366	15455	68769
367	15493	68711
368	15530	68647
369	15565	68573
370	15602	68506
371	15637	68433
372	15673	68367
373	15712	68311
374	15749	68248
375	15785	68177
376	15820	68109
377	15852	68024
378	15887	67952
379	15922	67879
380	15957	67809
381	15995	67749
382	16028	67670
383	16062	67598
384	16099	67534
385	16134	67465
386	16172	67406
387	16212	67358
388	16252	67307
